"Päivitetty","Kunta","Varmuus","Pisteet","Nimi","URL","Kunnan sivu","HTTP","Osumat"
"12.5.2026 klo 09.11","isokyrö","keskitaso","80","Liikuntaneuvonta","https://isokyro.fi/hyvinvointi-ja-vapaa-aika/vapaa-aika/liikuntapalvelut/liikuntaneuvonta/","https://isokyro.fi/","200","liikuntaneuvonta; liikuntapalvelut; senior"
"12.5.2026 klo 09.11","janakkala","korkea","590","Ikäihmisten ja erityisryhmien liikunta","https://www.janakkala.fi/vapaa-aika-ja-matkailu/liikunta/ohjattu-liikunta/","https://www.janakkala.fi/","200","ohjattu liikunta; ohjattua liikuntaa; liikuntaryhm; ikäihmisten liikunta; tuolijumppa; vesijumppa; jumppa; erityisliikunta; liikuntaneuvonta; liikuntapalvelut; senior"
"12.5.2026 klo 09.11","joensuu","korkea","560","Soveltava liikunta ja senioriliikunta","https://www.joensuu.fi/vapaa-aika/tekemista-liikkujalle/soveltava-ja-senioriliikunta/","https://www.joensuu.fi/","200","ohjattu liikunta; ohjatut liikuntaryhm; liikuntaryhm; senioriliikunta; ikääntyneiden liikunta; soveltava liikunta; erityisliikunta; liikuntaneuvonta; liikuntapalvelut; senior"
"12.5.2026 klo 09.11","jokioinen","korkea","270","Ohjatut liikuntaryhm&auml;t","https://www.jokioinen.fi/vapaa-aika-ja-hyvinvointi/liikuntatietoa-1522453229/liikuntapaikat/ohjatut-liikuntaryhmat/","https://www.jokioinen.fi/","200","ohjatut liikuntaryhm; liikuntaryhm; jumppa; erityisliikunta; liikuntaneuvonta"
"12.5.2026 klo 09.11","jomala","keskitaso","80","Idrott och motion","https://www.jomala.ax/fritid-och-idrott/idrott-och-motion","https://www.jomala.ax/","200","motion; idrott"
"12.5.2026 klo 09.11","joroinen","ei löytynyt","0","","","https://www.joroinen.fi/","200",""
"12.5.2026 klo 09.11","joutsa","korkea","185","Vapaa-aikatoimen liikuntaryhmät","https://www.joutsa.fi/vapaa-aika/vapaa-aikatoimen-liikuntaryhmat/","https://www.joutsa.fi/","200","liikuntaryhm; vesijumppa; jumppa; liikuntaneuvonta"
"12.5.2026 klo 09.11","juuka","matala","55","Liikuntaneuvonta","https://www.juuka.fi/liikuntaneuvonta","https://www.juuka.fi/","200","liikuntaneuvonta; liikuntapalvelut"
"12.5.2026 klo 09.11","juupajoki","korkea","110","Liikuntapalvelut","https://juupajoki.fi/vapaa-aika-ja-hyvinvointi/liikuntapalvelut/","https://juupajoki.fi/","200","ohjattua liikuntaa; liikuntapalvelut"
"12.5.2026 klo 09.11","juva","ei löytynyt","0","","","https://www.juva.fi/","200",""
"12.5.2026 klo 09.11","jyväskylä","korkea","405","Ohjattu liikunta","https://www.jyvaskyla.fi/liikunta/ohjattu-liikunta","https://www.jyvaskyla.fi/","200","ohjattu liikunta; liikuntaryhm; senioriliikunta; soveltava liikunta; liikuntaneuvonta; liikuntapalvelut; liikunta ja ulkoilu; senior"
"12.5.2026 klo 09.11","jämijärvi","matala","35","Lii­kun­ta­neu­von­ta","https://jamijarvi.fi/vapaa-aika-ja-hyvinvointi/hyvinvointi/liikuntaneuvonta/","https://jamijarvi.fi/","200","liikuntaneuvonta"
"12.5.2026 klo 09.11","jämsä","korkea","170","Lupa liikkua -seniori- ja vammaispassi","https://jamsa.fi/vapaa-aika/liikunta-ja-ulkoilu/erityis-ja-terveysliikunta/lupa-liikkua-seniori-ja-vammaispassi/","https://www.jamsa.fi/","200","liikuntaryhm; terveysliikunta; liikunta ja ulkoilu; senior"
"12.5.2026 klo 09.11","järvenpää","korkea","205","Soveltava liikunta","https://www.jarvenpaa.fi/vapaa-aika-ja-harrastaminen/liikunta-ja-ulkoilu/liikunnanohjauspalvelut/soveltava-liikunta","https://www.jarvenpaa.fi/","200","soveltava liikunta; erityisliikunta; liikuntapalvelut; liikunta ja ulkoilu"
"12.5.2026 klo 09.11","kaarina","korkea","345","Ikääntyvien ohjatut liikuntaryhmät","https://kaarina.fi/fi/kulttuuri-ja-vapaa-aika/liikunta/ikaantyvien-ohjatut-liikuntaryhmat","https://kaarina.fi/","200","ohjatut liikuntaryhm; liikuntaryhm; ikääntyneiden liikunta; tasapainojumppa; jumppa; senior"
"12.5.2026 klo 09.11","kaavi","ei löytynyt","0","","","https://kaavi.fi/","200",""
"12.5.2026 klo 09.11","kajaani","korkea","445","Ohjattu liikunta","https://kajaani.fi/kulttuuri-ja-liikunta/liikunta/ohjattu-liikunta/","https://www.kajaani.fi/","200","ohjattu liikunta; ohjattua liikuntaa; liikuntaryhm; senioriliikunta; jumppa; liikuntaneuvonta; liikuntapalvelut; senior"
"12.5.2026 klo 09.11","kangasala","korkea","385","Ohjattu liikunta","https://www.kangasala.fi/koe-viihdy-ja-ela/liikuntapalvelut/ohjattu-liikunta/","https://www.kangasala.fi/","200","ohjattu liikunta; liikuntaryhm; tuolijumppa; vesijumppa; jumppa; liikuntaneuvonta; liikuntapalvelut; senior"
"12.5.2026 klo 09.11","kangasniemi","korkea","135","Liikunta","https://www.kangasniemi.fi/vapaa-aika-ja-liikunta/liikunta/kayttovuorot-tilavaraukset-ja-hinnasto/liikuntaryhmat/","https://www.kangasniemi.fi/","200","liikuntaryhm; jumppa; liikuntaneuvonta"
"12.5.2026 klo 09.11","kankaanpää","korkea","325","Ohjatut liikuntaryhmät","https://www.kankaanpaa.fi/kulttuuri-liikunta-ja-nuoriso/liikunta/ohjatut-liikuntaryhmat/","https://www.kankaanpaa.fi/","200","ohjatut liikuntaryhm; liikuntaryhm; vesijumppa; jumppa; liikuntaneuvonta; liikuntapalvelut; senior"
"12.5.2026 klo 09.11","kannonkoski","korkea","375","Liikuntaryhmät","https://kannonkoski.fi/liikuntaryhmat","https://kannonkoski.fi/","200","liikuntaryhm; tasapainojumppa; vesijumppa; jumppa; erityisliikunta; liikuntaneuvonta; liikunta ja ulkoilu; senior"
